"bNumber";"projectId";"sim_name";"bNumberEnable";"setMinutePerDay";"describe"
79113018966;3;;;514;"Б номер: 79113018966 описание  514"
79118367795;3;;;514;"Б номер: 79118367795 описание  514"
79118997727;3;;;515;"Б номер: 79118997727 описание  515"
79111472250;3;;;428;"Б номер: 79111472250 описание  428"
79110744713;3;;;596;"Б номер: 79110744713 описание  596"
79116070772;3;;;419;"Б номер: 79116070772 описание  419"
79112366366;3;;;405;"Б номер: 79112366366 описание  405"
79110158404;3;;;449;"Б номер: 79110158404 описание  449"
79119614622;3;;;421;"Б номер: 79119614622 описание  421"
79113120781;3;;;560;"Б номер: 79113120781 описание  560"
